filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2016-11-25,740.36,740.36,740.36,740.36,0.5783,H0
rrtusd,2016-11-25,0.05347999999999999,0.05347999999999999,0.05347999999999999,0.05347999999999999,500.0,H0
ethbtc,2016-11-25,0.012673,0.012673,0.012673,0.012673,106.1871,H0
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2016-11-25,9.388,9.4269,9.4269,9.388,176.00021547999995,K1
zecusd,2016-11-25,90.0,90.0,90.0,90.0,0.12568972,V2
rrtbtc,2016-11-25,7.87E-5,7.87E-5,7.87E-5,7.87E-5,1250.0,H0
zecbtc,2016-11-25,0.12112,0.12112,0.12112,0.12112,0.13518868,H0
ltcbtc,2016-11-25,0.005257,0.005257,0.005257,0.005257,11.09277655,H0
filename,date,open,close,high,low,volume,PPO_RESULT
etcusd,2016-11-25,0.845,0.845,0.845,0.845,110.0,K1
ltcusd,2016-11-25,3.9003,3.9003,3.9003,3.9003,2.04553,H0
etcbtc,2016-11-25,0.0011351,0.0011317999999999999,0.0011351,0.0011317999999999999,1763.049,H0
