filename	date	open	close	high	low	volume	PPO_RESULT
btcusd	2017-02-22	1125.5	1125.5	1125.5	1125.5	0.70669637	K3
etcbtc	2017-02-22	0.0010798	0.0010798	0.0010798	0.0010798	158.74596200000002	H0
etcusd	2017-02-22	1.227	1.227	1.227	1.227	5.0	H0
ethbtc	2017-02-22	0.011183	0.011183	0.011183	0.011183	114.03100549999999	V0
ethusd	2017-02-22	12.679	12.679	12.679	12.679	10.06	H0
ltcbtc	2017-02-22	0.0034501999999999996	0.0034501999999999996	0.0034501999999999996	0.0034501999999999996	151.8573	H0
ltcusd	2017-02-22	3.9009	3.9009	3.9009	3.9009	2.8	H0
rrtbtc	2017-02-22	0.00011999999999999999	0.00011999999999999999	0.00011999999999999999	0.00011999999999999999	150.0	V2
rrtusd	2017-02-22	0.14051	0.14051	0.14051	0.14051	1761.27	H0
xmrbtc	2017-02-22	0.011474	0.011477	0.011477	0.011474	25.0	H0
xmrusd	2017-02-22	12.84	12.84	12.84	12.84	1.0	V2
zecbtc	2017-02-22	0.024168000000000002	0.024168000000000002	0.024168000000000002	0.024168000000000002	12.440999999999999	V3
zecusd	2017-02-22	27.112	27.112	27.112	27.112	0.42856400000000006	V2
